name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Ghosting,O My Heart,Mother Mother,3vZUC1m6QVm7urnN6lcF64,2008-09-23,70,0.606,0.618,0.237,-5.1,1
Arms Tonite,O My Heart,Mother Mother,1rRwwqteLePmi70PGaC8ah,2008-09-23,76,0.687,0.646,0.323,-3.841,1
Sleep Awake,O My Heart,Mother Mother,1cSgnOFHPaWp6b3FHOjmP5,2008-09-23,52,0.299,0.469,0.0592,-6.488,1
Little Pistol,The Sticks,Mother Mother,0rPsA6WNBe8BdSgth2z0HG,2012-09-18,61,0.295,0.478,0.17,-7.844,1
Worry,No Culture (Deluxe),Mother Mother,4oeROCp57LkND2WeInbc5W,2017-02-10,43,0.553,0.412,0.132,-8.909,1
Chocolate Hills,Chocolate Hills,Khruangbin,1No3OKWvdgtctLvSKQcREg,2022-01-19,70,0.661,0.281,0.218,-11.854,1
Summer Madness,Summer Madness,Khruangbin,7fpiYh33Xph4OPj8gS8jL0,2020-10-28,58,0.504,0.323,0.453,-12.442,1
A Calf Born in Winter,A Calf Born in Winter,Khruangbin,230tKtsKM3eigmK2CtssAO,2014-05-26,57,0.513,0.393,0.513,-13.338,1
First Class,Mordechai,Khruangbin,7JbBwnIVC92yt9eXjQi1lZ,2020-06-26,57,0.581,0.394,0.611,-14.825,1
The Number 3,The Infamous Bill,Khruangbin,1e5nuWd8w0ZQlgEA19okwE,2014-10-13,52,0.542,0.518,0.531,-11.332,1
Friday Morning,Con Todo El Mundo,Khruangbin,2M45IIrFLjMgsNSSxee31h,2018-01-26,53,0.44,0.261,0.438,-13.631,1
Conversion,Texas Sun,Khruangbin,7DJgonAUzq9qXzF7mMrOot,2020-02-07,56,0.473,0.444,0.288,-10.467,1
LONG SEASON,LONG SEASON,Fishmans,08b1bCjsKjMzhjBm0qhkof,1996-10-25,46,0.476,0.802,0.228,-9.021,1
Yoru no Omoi,Orange,Fishmans,1t72VmMNPkZIf83FmpCJAx,1994-11-01,25,0.661,0.493,0.311,-12.458,1
新しい人,空中キャンプ,Fishmans,5RXsyzFF3lve6Bpz3CIOQh,1996-02-01,39,0.765,0.275,0.48,-14.683,1
WEATHER REPORT,宇宙 日本 世田谷,Fishmans,682TDtMAq9UcKN0QqVN019,1997-07-24,34,0.675,0.638,0.343,-10.027,1
IN THE FLIGHT,宇宙 日本 世田谷,Fishmans,0msOgZw6XpjSXTyNr6Jkd8,1997-07-24,33,0.641,0.25,0.556,-12.967,1
DAYDREAM,宇宙 日本 世田谷,Fishmans,2BVeeIDSD2dCnkNMhGDYK4,1997-07-24,40,0.545,0.4,0.519,-12.422,1
POKKA POKKA,宇宙 日本 世田谷,Fishmans,2diC2THH55uAw4GGpZQjwn,1997-07-24,40,0.63,0.378,0.229,-11.204,1
